Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Revenue
2022-01-02T00:00:00.000-08:00,S005,P0011,Electronics,East,60,16,149,23.98,25.67,5,Sunny,1,27.78,Winter,410.72
2022-01-02T00:00:00.000-08:00,S005,P0018,Clothing,West,89,83,113,78.67,47.05,15,Rainy,1,47.89,Spring,3905.15
2022-01-03T00:00:00.000-08:00,S001,P0006,Furniture,South,57,9,40,13.6,57.65,5,Sunny,0,58.01,Summer,518.85
2022-01-03T00:00:00.000-08:00,S001,P0010,Electronics,West,51,47,155,38.08,99.14,10,Snowy,0,102.66,Autumn,4659.58
2022-01-03T00:00:00.000-08:00,S001,P0012,Clothing,East,72,2,62,9.81,86.93,15,Cloudy,0,83.11,Summer,173.86
2022-01-03T00:00:00.000-08:00,S001,P0018,Furniture,East,97,20,147,37.26,78.53,5,Rainy,0,75.48,Autumn,1570.6
2022-01-03T00:00:00.000-08:00,S002,P0008,Furniture,South,70,11,137,23.62,58.55,10,Cloudy,0,63.45,Summer,644.05
2022-01-03T00:00:00.000-08:00,S004,P0009,Electronics,West,73,69,65,68.51,30.82,20,Sunny,0,35.26,Winter,2126.58
2022-01-03T00:00:00.000-08:00,S004,P0017,Toys,North,74,33,29,43.64,38.52,15,Rainy,0,39.57,Spring,1271.16
2022-01-03T00:00:00.000-08:00,S005,P0005,Groceries,North,83,66,57,63.37,60.35,20,Sunny,1,60.81,Winter,3983.1
2022-01-03T00:00:00.000-08:00,S005,P0012,Toys,North,77,72,27,68.01,46.94,20,Rainy,1,46.58,Winter,3379.68
2022-01-04T00:00:00.000-08:00,S001,P0001,Groceries,South,85,58,193,52.87,77.88,15,Cloudy,1,75.99,Winter,4517.04
2022-01-04T00:00:00.000-08:00,S001,P0002,Electronics,North,91,91,142,82.65,88.22,15,Sunny,1,87.44,Autumn,8028.02
2022-01-04T00:00:00.000-08:00,S001,P0013,Toys,North,94,31,174,46.7,34.68,10,Sunny,0,33.73,Winter,1075.08
2022-01-04T00:00:00.000-08:00,S001,P0014,Clothing,East,77,7,76,22.66,98.28,15,Cloudy,1,95.38,Spring,687.96
2022-01-04T00:00:00.000-08:00,S002,P0012,Electronics,North,74,61,87,67.72,94.85,0,Cloudy,0,93.92,Winter,5785.85
2022-01-04T00:00:00.000-08:00,S003,P0005,Groceries,North,69,2,161,21.27,24.29,5,Rainy,0,25.5,Summer,48.58
2022-01-04T00:00:00.000-08:00,S004,P0013,Groceries,West,80,68,48,81.02,24.53,20,Snowy,1,23.7,Spring,1668.04
2022-01-04T00:00:00.000-08:00,S005,P0013,Groceries,North,86,75,153,72.27,40.27,15,Sunny,1,41.66,Summer,3020.25
2022-01-05T00:00:00.000-08:00,S002,P0007,Groceries,South,80,20,176,34.05,80.01,5,Rainy,1,80.65,Winter,1600.2
2022-01-05T00:00:00.000-08:00,S002,P0015,Clothing,South,70,24,28,17.01,52.21,20,Cloudy,0,56.17,Summer,1253.04
2022-01-05T00:00:00.000-08:00,S003,P0007,Clothing,East,79,66,69,74.14,76.7,10,Rainy,1,73.33,Summer,5062.2
2022-01-05T00:00:00.000-08:00,S005,P0002,Toys,West,98,59,94,62.06,26.25,15,Snowy,1,28.27,Autumn,1548.75
2022-01-05T00:00:00.000-08:00,S005,P0011,Electronics,South,91,48,155,51.37,13.33,5,Cloudy,0,13.1,Autumn,639.84
2022-01-05T00:00:00.000-08:00,S005,P0013,Electronics,South,68,64,54,71.81,39.8,15,Rainy,1,35.38,Summer,2547.2
2022-01-06T00:00:00.000-08:00,S001,P0003,Toys,West,91,58,187,50.51,54.78,20,Sunny,0,52.0,Autumn,3177.24
2022-01-06T00:00:00.000-08:00,S001,P0006,Toys,West,57,2,110,1.05,83.4,0,Rainy,1,86.18,Autumn,166.8
2022-01-06T00:00:00.000-08:00,S001,P0007,Electronics,South,76,35,49,45.45,99.12,5,Sunny,1,104.06,Summer,3469.2
2022-01-06T00:00:00.000-08:00,S001,P0012,Groceries,North,59,1,88,-8.37,63.21,0,Rainy,0,60.48,Spring,63.21
2022-01-06T00:00:00.000-08:00,S001,P0019,Furniture,South,66,15,126,19.63,96.19,5,Rainy,1,93.01,Spring,1442.85
2022-01-06T00:00:00.000-08:00,S001,P0020,Clothing,North,98,2,60,2.68,79.76,0,Rainy,0,78.21,Winter,159.52
2022-01-06T00:00:00.000-08:00,S002,P0003,Clothing,East,71,65,197,71.43,60.75,0,Rainy,0,62.18,Autumn,3948.75
2022-01-06T00:00:00.000-08:00,S002,P0004,Groceries,East,72,62,118,74.56,58.46,5,Rainy,0,54.87,Autumn,3624.52
2022-01-06T00:00:00.000-08:00,S003,P0009,Electronics,West,60,11,89,5.61,15.82,0,Cloudy,1,15.76,Summer,174.02
2022-01-06T00:00:00.000-08:00,S003,P0019,Furniture,North,67,37,84,37.59,51.51,5,Rainy,1,53.03,Summer,1905.87
2022-01-06T00:00:00.000-08:00,S004,P0004,Electronics,North,50,50,180,41.93,83.19,10,Snowy,1,88.18,Winter,4159.5
2022-01-06T00:00:00.000-08:00,S004,P0016,Electronics,West,69,24,190,36.79,81.37,15,Snowy,1,84.52,Spring,1952.88
2022-01-06T00:00:00.000-08:00,S005,P0007,Groceries,West,87,39,187,33.84,58.4,20,Snowy,0,55.85,Autumn,2277.6
2022-01-06T00:00:00.000-08:00,S005,P0009,Toys,South,87,70,44,81.01,46.58,0,Sunny,1,43.42,Autumn,3260.6
2022-01-06T00:00:00.000-08:00,S005,P0010,Toys,South,94,64,176,67.98,53.15,20,Snowy,0,57.29,Autumn,3401.6
2022-01-06T00:00:00.000-08:00,S005,P0020,Furniture,West,74,7,82,6.64,92.93,20,Sunny,1,89.89,Winter,650.51
2022-01-07T00:00:00.000-08:00,S002,P0003,Electronics,West,85,72,59,80.31,42.82,0,Snowy,1,39.39,Autumn,3083.04
2022-01-07T00:00:00.000-08:00,S002,P0008,Toys,North,74,46,129,59.22,96.55,10,Cloudy,1,94.72,Spring,4441.3
2022-01-07T00:00:00.000-08:00,S002,P0020,Groceries,West,90,86,103,91.01,61.14,10,Snowy,0,59.68,Summer,5258.04
2022-01-07T00:00:00.000-08:00,S003,P0003,Clothing,South,92,4,87,20.75,85.2,0,Sunny,1,90.12,Summer,340.8
2022-01-07T00:00:00.000-08:00,S003,P0010,Furniture,North,74,63,35,72.14,61.85,0,Sunny,0,66.47,Summer,3896.55
2022-01-07T00:00:00.000-08:00,S004,P0002,Toys,North,61,46,172,42.15,79.31,0,Sunny,1,80.4,Summer,3648.26
2022-01-07T00:00:00.000-08:00,S004,P0003,Electronics,North,81,49,166,47.54,63.03,15,Cloudy,0,58.96,Spring,3088.47
2022-01-07T00:00:00.000-08:00,S004,P0011,Clothing,North,88,80,106,74.64,82.63,0,Snowy,1,82.31,Spring,6610.4
2022-01-07T00:00:00.000-08:00,S004,P0017,Furniture,South,53,4,84,2.05,94.56,10,Rainy,1,95.74,Summer,378.24
2022-01-07T00:00:00.000-08:00,S004,P0018,Furniture,North,94,70,132,61.63,66.34,5,Sunny,1,68.05,Summer,4643.8
2022-01-07T00:00:00.000-08:00,S005,P0019,Furniture,East,60,33,155,33.96,31.44,0,Rainy,1,33.88,Spring,1037.52
2022-01-08T00:00:00.000-08:00,S001,P0002,Groceries,South,55,33,34,44.32,72.12,5,Rainy,0,73.33,Autumn,2379.96
2022-01-08T00:00:00.000-08:00,S002,P0010,Toys,West,57,23,71,25.74,91.77,10,Rainy,1,91.56,Autumn,2110.71
2022-01-08T00:00:00.000-08:00,S002,P0011,Electronics,South,64,7,79,-2.99,92.43,0,Snowy,0,88.55,Spring,647.01
2022-01-08T00:00:00.000-08:00,S003,P0010,Groceries,East,84,6,63,24.13,88.54,20,Snowy,1,92.13,Spring,531.24
2022-01-08T00:00:00.000-08:00,S003,P0012,Furniture,West,55,3,46,7.02,16.46,5,Snowy,1,17.96,Spring,49.38
2022-01-08T00:00:00.000-08:00,S003,P0016,Clothing,East,81,36,69,33.1,26.65,10,Cloudy,1,28.85,Spring,959.4
2022-01-08T00:00:00.000-08:00,S003,P0017,Electronics,North,93,85,46,81.22,15.63,20,Snowy,0,18.44,Summer,1328.55
2022-01-08T00:00:00.000-08:00,S004,P0001,Clothing,East,62,23,131,28.07,24.71,20,Cloudy,1,25.11,Spring,568.33
2022-01-08T00:00:00.000-08:00,S004,P0002,Toys,South,74,25,48,27.36,83.18,5,Rainy,0,85.58,Winter,2079.5
2022-01-09T00:00:00.000-08:00,S001,P0007,Electronics,South,81,81,177,98.81,34.2,15,Sunny,1,37.95,Autumn,2770.2
2022-01-09T00:00:00.000-08:00,S001,P0010,Toys,South,97,40,148,38.87,69.78,15,Cloudy,1,65.21,Summer,2791.2
2022-01-09T00:00:00.000-08:00,S001,P0012,Electronics,South,94,50,101,56.16,13.88,20,Rainy,0,13.91,Autumn,694.0
2022-01-09T00:00:00.000-08:00,S002,P0002,Toys,North,93,29,101,25.81,96.63,5,Rainy,1,95.9,Winter,2802.27
2022-01-09T00:00:00.000-08:00,S002,P0018,Furniture,West,96,95,63,103.86,45.68,0,Sunny,1,45.36,Autumn,4339.6
2022-01-09T00:00:00.000-08:00,S003,P0010,Toys,East,60,40,65,51.32,85.57,20,Rainy,0,82.49,Spring,3422.8
2022-01-09T00:00:00.000-08:00,S003,P0015,Electronics,South,90,67,92,68.42,15.65,15,Snowy,1,18.07,Summer,1048.55
2022-01-09T00:00:00.000-08:00,S005,P0015,Electronics,West,80,19,186,36.63,10.4,20,Rainy,0,11.15,Autumn,197.6
2022-01-10T00:00:00.000-08:00,S003,P0002,Clothing,East,85,79,68,72.88,40.83,5,Rainy,1,37.97,Autumn,3225.57
2022-01-10T00:00:00.000-08:00,S003,P0003,Furniture,North,84,7,195,9.75,67.15,15,Snowy,0,66.45,Winter,470.05
2022-01-10T00:00:00.000-08:00,S004,P0004,Furniture,South,94,40,173,40.99,45.22,5,Sunny,1,43.46,Spring,1808.8
2022-01-10T00:00:00.000-08:00,S004,P0005,Toys,North,80,27,80,25.55,98.97,10,Cloudy,1,100.43,Autumn,2672.19
2022-01-10T00:00:00.000-08:00,S004,P0009,Groceries,East,62,12,24,22.88,52.85,5,Snowy,0,49.41,Autumn,634.2
2022-01-10T00:00:00.000-08:00,S004,P0012,Clothing,East,91,53,160,51.14,65.05,10,Snowy,1,67.32,Summer,3447.65
2022-01-10T00:00:00.000-08:00,S004,P0018,Groceries,North,66,35,106,36.58,72.14,20,Rainy,0,74.88,Spring,2524.9
2022-01-10T00:00:00.000-08:00,S005,P0004,Furniture,North,58,40,149,48.74,77.7,20,Snowy,1,74.51,Winter,3108.0
2022-01-11T00:00:00.000-08:00,S001,P0015,Clothing,North,51,38,196,48.25,27.47,0,Rainy,1,24.16,Spring,1043.86
2022-01-11T00:00:00.000-08:00,S002,P0012,Toys,South,87,48,68,63.14,14.82,20,Cloudy,1,15.72,Autumn,711.36
2022-01-11T00:00:00.000-08:00,S003,P0016,Clothing,North,76,22,176,39.41,55.42,20,Rainy,0,52.25,Summer,1219.24
2022-01-11T00:00:00.000-08:00,S004,P0019,Toys,East,66,25,108,36.78,71.45,10,Rainy,0,68.39,Summer,1786.25
2022-01-11T00:00:00.000-08:00,S005,P0003,Groceries,North,91,52,127,56.63,81.55,15,Snowy,0,80.98,Winter,4240.6
2022-01-11T00:00:00.000-08:00,S005,P0006,Clothing,North,92,29,23,28.38,41.2,20,Cloudy,1,38.1,Summer,1194.8
2022-01-11T00:00:00.000-08:00,S005,P0019,Clothing,West,69,19,61,27.2,82.84,15,Rainy,1,78.4,Autumn,1573.96
2022-01-12T00:00:00.000-08:00,S001,P0002,Toys,East,85,63,155,77.52,26.45,10,Snowy,0,24.61,Spring,1666.35
2022-01-12T00:00:00.000-08:00,S001,P0013,Furniture,West,52,38,112,47.44,88.96,15,Cloudy,1,88.07,Winter,3380.48
2022-01-12T00:00:00.000-08:00,S002,P0012,Electronics,East,65,19,99,20.63,88.2,15,Rainy,0,84.3,Winter,1675.8
2022-01-12T00:00:00.000-08:00,S003,P0004,Electronics,North,77,64,156,83.42,91.29,0,Cloudy,0,95.37,Summer,5842.56
2022-01-12T00:00:00.000-08:00,S003,P0008,Furniture,North,55,7,20,16.78,85.9,5,Snowy,0,87.97,Autumn,601.3
2022-01-12T00:00:00.000-08:00,S003,P0010,Furniture,South,74,6,77,-0.11,34.77,15,Snowy,0,33.56,Summer,208.62
2022-01-12T00:00:00.000-08:00,S004,P0001,Toys,North,56,39,149,35.68,46.26,20,Rainy,0,48.81,Autumn,1804.14
2022-01-12T00:00:00.000-08:00,S004,P0004,Clothing,East,79,4,156,23.49,60.78,20,Rainy,1,62.27,Spring,243.12
2022-01-12T00:00:00.000-08:00,S005,P0015,Clothing,West,78,18,102,14.56,83.43,15,Sunny,0,82.19,Spring,1501.74
2022-01-12T00:00:00.000-08:00,S005,P0016,Electronics,North,79,40,190,37.92,16.59,20,Cloudy,0,15.08,Autumn,663.6
2022-01-12T00:00:00.000-08:00,S005,P0018,Toys,North,99,18,172,26.08,11.98,20,Sunny,1,12.84,Autumn,215.64
2022-01-13T00:00:00.000-08:00,S001,P0003,Groceries,East,50,1,101,10.7,69.18,10,Rainy,1,66.84,Summer,69.18
2022-01-13T00:00:00.000-08:00,S001,P0014,Toys,South,79,58,158,73.54,96.24,10,Cloudy,1,100.59,Autumn,5581.92
2022-01-13T00:00:00.000-08:00,S001,P0016,Toys,East,91,19,126,9.24,35.05,5,Rainy,1,33.47,Autumn,665.95
2022-01-13T00:00:00.000-08:00,S001,P0017,Furniture,East,72,52,138,69.1,22.25,20,Sunny,1,17.44,Winter,1157.0
2022-01-13T00:00:00.000-08:00,S002,P0008,Groceries,North,99,37,106,46.28,93.46,15,Rainy,0,93.68,Summer,3458.02
2022-01-13T00:00:00.000-08:00,S002,P0016,Furniture,West,90,79,99,86.83,71.44,10,Cloudy,0,75.1,Autumn,5643.76
2022-01-13T00:00:00.000-08:00,S003,P0002,Electronics,North,83,71,99,74.08,91.06,5,Rainy,1,87.75,Spring,6465.26
2022-01-13T00:00:00.000-08:00,S003,P0009,Furniture,West,78,24,188,25.24,53.77,10,Sunny,1,52.99,Spring,1290.48
2022-01-13T00:00:00.000-08:00,S003,P0012,Toys,South,72,3,111,12.68,58.68,5,Snowy,1,60.03,Autumn,176.04
2022-01-13T00:00:00.000-08:00,S003,P0013,Clothing,West,78,57,114,49.04,21.8,0,Sunny,1,25.59,Autumn,1242.6
2022-01-13T00:00:00.000-08:00,S003,P0018,Groceries,East,61,27,128,39.01,97.17,20,Rainy,1,94.22,Summer,2623.59
2022-01-13T00:00:00.000-08:00,S004,P0017,Toys,East,74,2,27,14.81,94.49,20,Rainy,0,98.42,Autumn,188.98
2022-01-13T00:00:00.000-08:00,S004,P0018,Electronics,North,69,13,184,13.6,93.45,20,Sunny,1,95.53,Spring,1214.85
2022-01-13T00:00:00.000-08:00,S005,P0014,Furniture,West,50,9,46,3.86,59.04,15,Cloudy,0,63.79,Summer,531.36
2022-01-13T00:00:00.000-08:00,S005,P0018,Furniture,South,55,49,171,58.67,73.07,15,Snowy,0,76.38,Winter,3580.43
2022-01-14T00:00:00.000-08:00,S001,P0003,Toys,East,91,61,150,57.11,53.89,20,Cloudy,0,49.41,Spring,3287.29
2022-01-14T00:00:00.000-08:00,S002,P0001,Groceries,West,81,45,121,40.43,35.05,20,Sunny,0,35.31,Winter,1577.25
2022-01-14T00:00:00.000-08:00,S002,P0007,Groceries,South,67,53,167,44.59,72.68,20,Sunny,1,67.88,Winter,3852.04
2022-01-14T00:00:00.000-08:00,S002,P0013,Groceries,West,84,76,179,90.93,85.91,20,Snowy,0,82.2,Summer,6529.16
2022-01-14T00:00:00.000-08:00,S002,P0016,Clothing,North,72,23,127,38.69,46.51,0,Rainy,0,50.98,Spring,1069.73
2022-01-14T00:00:00.000-08:00,S003,P0006,Toys,East,89,86,178,105.04,34.54,5,Sunny,1,33.79,Autumn,2970.44
2022-01-14T00:00:00.000-08:00,S004,P0001,Groceries,South,93,39,180,37.77,64.07,20,Rainy,0,68.04,Winter,2498.73
2022-01-14T00:00:00.000-08:00,S004,P0005,Electronics,South,54,31,125,45.68,47.42,0,Snowy,0,51.45,Summer,1470.02
2022-01-14T00:00:00.000-08:00,S004,P0016,Groceries,South,94,58,164,63.94,22.33,20,Sunny,1,17.54,Spring,1295.14
2022-01-14T00:00:00.000-08:00,S005,P0001,Groceries,East,65,63,121,62.67,30.03,10,Sunny,0,27.0,Spring,1891.89
2022-01-14T00:00:00.000-08:00,S005,P0013,Clothing,North,80,21,23,15.58,63.57,15,Rainy,0,63.83,Autumn,1334.97
2022-01-14T00:00:00.000-08:00,S005,P0019,Groceries,West,65,0,122,-0.03,82.34,20,Rainy,1,79.8,Winter,0.0
2022-01-15T00:00:00.000-08:00,S001,P0007,Groceries,East,63,31,60,47.19,52.32,0,Cloudy,1,54.43,Autumn,1621.92
2022-01-15T00:00:00.000-08:00,S001,P0013,Groceries,West,97,4,98,-4.7,38.25,15,Rainy,1,42.75,Spring,153.0
2022-01-15T00:00:00.000-08:00,S002,P0001,Clothing,West,79,19,163,16.28,62.09,0,Snowy,0,59.01,Spring,1179.71
2022-01-15T00:00:00.000-08:00,S002,P0019,Clothing,East,65,55,161,46.76,51.81,15,Rainy,1,56.1,Winter,2849.55
2022-01-15T00:00:00.000-08:00,S004,P0006,Groceries,North,76,27,71,30.56,29.71,5,Sunny,1,26.96,Winter,802.17
2022-01-15T00:00:00.000-08:00,S004,P0013,Toys,South,64,51,75,44.36,11.82,10,Cloudy,0,16.42,Autumn,602.82
2022-01-15T00:00:00.000-08:00,S004,P0019,Electronics,North,78,53,55,51.6,52.99,20,Rainy,0,49.81,Summer,2808.47
2022-01-16T00:00:00.000-08:00,S001,P0018,Clothing,South,69,21,42,26.12,29.52,20,Sunny,0,30.66,Summer,619.92
2022-01-16T00:00:00.000-08:00,S003,P0016,Toys,South,88,64,157,80.9,23.26,10,Cloudy,1,21.11,Summer,1488.64
2022-01-16T00:00:00.000-08:00,S003,P0018,Electronics,South,68,15,130,22.93,57.64,0,Rainy,1,57.67,Autumn,864.6
2022-01-16T00:00:00.000-08:00,S004,P0009,Furniture,East,82,74,57,77.28,97.8,5,Rainy,1,96.7,Winter,7237.2
2022-01-16T00:00:00.000-08:00,S004,P0014,Toys,West,82,62,46,79.62,43.85,5,Sunny,0,46.82,Winter,2718.7
2022-01-16T00:00:00.000-08:00,S005,P0004,Electronics,West,68,29,63,31.19,13.62,10,Rainy,1,17.24,Summer,394.98
2022-01-17T00:00:00.000-08:00,S001,P0004,Clothing,East,95,88,76,99.26,48.66,20,Rainy,1,49.05,Summer,4282.08
2022-01-17T00:00:00.000-08:00,S001,P0009,Groceries,East,56,28,103,33.31,22.31,5,Snowy,1,22.6,Summer,624.68
2022-01-17T00:00:00.000-08:00,S001,P0011,Groceries,West,78,26,126,22.66,29.75,10,Snowy,0,25.85,Summer,773.5
2022-01-17T00:00:00.000-08:00,S001,P0014,Furniture,South,73,19,53,30.43,94.28,15,Cloudy,0,98.57,Summer,1791.32
2022-01-17T00:00:00.000-08:00,S001,P0020,Toys,East,87,25,121,39.88,28.9,15,Snowy,0,24.92,Autumn,722.5
2022-01-17T00:00:00.000-08:00,S002,P0001,Electronics,East,75,33,124,51.55,79.17,15,Rainy,1,74.23,Autumn,2612.61
2022-01-17T00:00:00.000-08:00,S002,P0014,Furniture,North,86,7,141,15.76,76.61,0,Snowy,1,80.76,Summer,536.27
2022-01-17T00:00:00.000-08:00,S004,P0002,Toys,North,72,72,184,63.91,22.72,0,Rainy,1,22.14,Spring,1635.84
2022-01-17T00:00:00.000-08:00,S004,P0010,Furniture,South,99,85,113,81.22,29.11,10,Sunny,0,29.57,Spring,2474.35
2022-01-17T00:00:00.000-08:00,S004,P0012,Toys,East,92,73,67,83.76,96.58,20,Snowy,0,99.27,Summer,7050.34
2022-01-17T00:00:00.000-08:00,S004,P0013,Toys,North,60,44,200,58.75,59.49,5,Snowy,0,59.75,Winter,2617.56
2022-01-17T00:00:00.000-08:00,S004,P0015,Groceries,North,87,24,93,30.1,81.62,15,Cloudy,1,85.7,Autumn,1958.88
2022-01-17T00:00:00.000-08:00,S005,P0008,Electronics,North,72,61,158,74.15,12.8,5,Snowy,1,14.18,Autumn,780.8
2022-01-17T00:00:00.000-08:00,S005,P0009,Electronics,West,55,15,188,20.17,29.72,15,Sunny,0,32.16,Summer,445.8
2022-01-17T00:00:00.000-08:00,S005,P0019,Electronics,West,74,68,84,62.08,75.57,10,Sunny,0,75.05,Autumn,5138.76
2022-01-18T00:00:00.000-08:00,S001,P0004,Furniture,West,95,93,127,83.8,89.97,15,Snowy,1,94.38,Autumn,8367.21
2022-01-18T00:00:00.000-08:00,S001,P0005,Toys,East,86,59,178,65.25,83.58,20,Snowy,0,87.15,Autumn,4931.22
2022-01-18T00:00:00.000-08:00,S001,P0013,Furniture,South,73,22,32,12.04,29.58,10,Rainy,0,26.16,Spring,650.76
2022-01-18T00:00:00.000-08:00,S001,P0014,Toys,North,73,25,48,41.37,13.33,15,Cloudy,1,13.35,Autumn,333.25
2022-01-18T00:00:00.000-08:00,S001,P0017,Furniture,South,53,35,154,26.1,75.44,0,Sunny,1,77.63,Autumn,2640.4
2022-01-18T00:00:00.000-08:00,S001,P0019,Clothing,West,78,34,128,27.93,35.94,0,Snowy,1,35.81,Spring,1221.96
2022-01-18T00:00:00.000-08:00,S002,P0008,Groceries,East,71,1,34,17.62,95.18,20,Sunny,0,93.25,Spring,95.18
2022-01-18T00:00:00.000-08:00,S002,P0010,Groceries,East,86,70,138,78.41,15.05,15,Rainy,1,16.45,Spring,1053.5
2022-01-18T00:00:00.000-08:00,S002,P0015,Furniture,West,61,46,200,54.0,41.44,5,Sunny,1,40.53,Spring,1906.24
2022-01-18T00:00:00.000-08:00,S003,P0016,Electronics,West,77,67,128,81.6,71.97,15,Snowy,1,67.99,Summer,4821.99
2022-01-18T00:00:00.000-08:00,S004,P0012,Groceries,West,57,24,169,41.1,35.23,0,Sunny,1,32.74,Summer,845.52
2022-01-18T00:00:00.000-08:00,S004,P0013,Toys,North,93,76,115,86.52,97.61,20,Rainy,1,97.14,Spring,7418.36
2022-01-18T00:00:00.000-08:00,S004,P0017,Groceries,South,96,30,128,48.84,25.7,0,Rainy,1,26.65,Summer,771.0
2022-01-19T00:00:00.000-08:00,S001,P0013,Electronics,West,57,28,72,25.08,49.83,15,Cloudy,0,49.27,Autumn,1395.24
2022-01-19T00:00:00.000-08:00,S001,P0016,Clothing,East,50,0,166,13.36,98.44,5,Snowy,0,101.34,Autumn,0.0
2022-01-19T00:00:00.000-08:00,S002,P0011,Electronics,North,91,56,104,63.33,68.99,15,Snowy,1,68.29,Winter,3863.44
2022-01-19T00:00:00.000-08:00,S002,P0016,Clothing,South,81,64,31,58.73,33.6,0,Cloudy,1,36.44,Winter,2150.4
2022-01-19T00:00:00.000-08:00,S002,P0020,Furniture,North,68,67,107,69.38,80.75,5,Snowy,1,84.04,Winter,5410.25
2022-01-19T00:00:00.000-08:00,S003,P0002,Toys,North,57,40,154,32.09,18.2,20,Snowy,0,19.89,Winter,728.0
2022-01-19T00:00:00.000-08:00,S003,P0005,Clothing,East,73,68,135,58.57,74.12,15,Sunny,0,72.19,Summer,5040.16
2022-01-19T00:00:00.000-08:00,S003,P0015,Clothing,North,95,49,151,62.48,10.28,15,Snowy,0,5.34,Summer,503.72
2022-01-19T00:00:00.000-08:00,S003,P0020,Furniture,East,94,5,74,-3.55,52.49,10,Sunny,0,54.14,Summer,262.45
2022-01-19T00:00:00.000-08:00,S004,P0006,Electronics,West,77,34,160,53.28,45.78,0,Rainy,1,44.98,Winter,1556.52
2022-01-19T00:00:00.000-08:00,S004,P0012,Clothing,North,75,6,67,23.98,80.58,20,Snowy,1,82.09,Autumn,483.48
2022-01-19T00:00:00.000-08:00,S005,P0005,Groceries,South,69,49,164,53.12,26.76,0,Cloudy,1,28.44,Summer,1311.24
2022-01-19T00:00:00.000-08:00,S005,P0012,Clothing,West,99,9,143,20.12,76.35,0,Rainy,1,73.7,Autumn,687.15
2022-01-19T00:00:00.000-08:00,S005,P0016,Groceries,South,64,57,55,51.48,13.45,20,Snowy,0,8.7,Spring,766.65
2022-01-20T00:00:00.000-08:00,S001,P0008,Groceries,North,50,48,141,67.2,15.38,10,Snowy,0,12.39,Autumn,738.24
2022-01-20T00:00:00.000-08:00,S001,P0014,Clothing,East,63,34,158,48.82,68.22,20,Sunny,0,66.68,Summer,2319.48
2022-01-20T00:00:00.000-08:00,S002,P0012,Toys,North,87,36,84,45.07,19.07,0,Sunny,0,23.41,Autumn,686.52
2022-01-20T00:00:00.000-08:00,S003,P0012,Clothing,East,71,28,89,27.53,64.62,15,Rainy,1,61.24,Winter,1809.36
2022-01-20T00:00:00.000-08:00,S003,P0013,Toys,South,59,59,79,49.13,38.75,5,Sunny,1,39.82,Spring,2286.25
2022-01-20T00:00:00.000-08:00,S004,P0017,Clothing,North,81,75,158,81.73,46.35,20,Rainy,0,43.85,Summer,3476.25
2022-01-20T00:00:00.000-08:00,S005,P0009,Clothing,West,85,37,69,27.24,36.12,15,Rainy,0,31.7,Winter,1336.44
